country,iso code,observations,money growth,inflation,gdp growth,income group,oecd
Moldova,MDA,28.0,0.18651986227868345,0.11908291566239226,0.026318524841376867,middle,no
Mongolia,MNG,31.0,0.3030418304017741,0.22932198108883095,0.046722921688389984,middle,no
Montenegro,MNE,21.0,0.16981567576102052,0.045269331503005494,0.028604643477199376,middle,no
Morocco,MAR,57.0,0.1138989226733802,0.03920866158184899,0.04352750238535141,middle,no
Mozambique,MOZ,32.0,0.23672909692658672,0.12076381719565932,0.061607982048071275,low,no
Myanmar,MMR,60.0,0.19920383364427297,0.11690932291963985,0.05731929273183711,middle,no
Namibia,NAM,32.0,0.15625046254572328,0.07465429926079148,0.03298395862806025,middle,no
Nepal,NPL,63.0,0.17887012044148398,0.08133745146235749,0.03781851824294269,middle,no
New Zealand,NZL,34.0,0.1243476612146488,0.0553632394862964,0.024124595272909888,high,yes
Nicaragua,NIC,62.0,0.6043142367955143,0.5346607669322456,0.025918043602970897,middle,no
Niger,NER,61.0,0.1038467437168451,0.04501103686513486,0.026363093809892435,low,no
Nigeria,NGA,62.0,0.2169091785861159,0.1573274960785418,0.03448361924745047,middle,no
North Macedonia,MKD,30.0,0.08766648288325096,0.06765926953972556,0.022617920128848557,middle,no
Norway,NOR,63.0,0.08524947552513185,0.05211704073501733,0.03024255545319643,high,yes
Oman,OMN,46.0,0.13967249800930026,0.07047989829755918,0.05319936284140958,high,no
Pakistan,PAK,63.0,0.14420796511246103,0.08702642525117987,0.050522340410195765,middle,no
Panama,PAN,49.0,0.12446029756442645,0.02999528843928201,0.05188391107610091,high,no
Papua New Guinea,PNG,47.0,0.10845775322528328,0.07007639953698708,0.030959781150295518,middle,no
Paraguay,PRY,63.0,0.1902986688277959,0.10725644558743186,0.044401648659161186,middle,no
Peru,PER,62.0,0.49327701632268717,0.4149154395242982,0.034463152081626536,middle,no
Philippines,PHL,61.0,0.15594368726345365,0.08041786386172123,0.041451455391986025,middle,no
Poland,POL,32.0,0.16072247059820288,0.08791921451618823,0.036861103485636315,high,yes
Qatar,QAT,23.0,0.15723340860428503,0.04472879733049706,0.07689015153180145,high,no
Romania,ROU,33.0,0.3386295895482443,0.3254449305792946,0.021892344490598514,high,no
Russian Federation,RUS,20.0,0.2061546247802315,0.10734015928378815,0.029411991712137597,middle,no
Rwanda,RWA,57.0,0.14962092644242309,0.08867966769694502,0.04638679258994638,low,no
Samoa,WSM,41.0,0.09073418059278016,0.05100616860636564,0.01780681077734858,middle,no
Sao Tome and Principe,STP,20.0,0.17661159163520201,0.10290937950435275,0.046485191620560196,middle,no
Saudi Arabia,SAU,50.0,0.14118958900638212,0.05742797975343894,0.04638328389252644,high,no
Senegal,SEN,61.0,0.09607044342413729,0.03933257532692269,0.03146104180344356,middle,no
Serbia,SRB,26.0,0.25109423161849564,0.13303231843834395,0.029280371613521927,middle,no
Seychelles,SYC,52.0,0.1341302925727057,0.06694976153900556,0.038612983401829615,high,no
Sierra Leone,SLE,62.0,0.24588910234696604,0.19383704713136551,0.025169163575539555,low,no
Singapore,SGP,58.0,0.11449564753635144,0.02402937543227779,0.0687313273759711,high,no
Solomon Islands,SLB,43.0,0.12653807310120913,0.08678349446666478,0.023043341158823782,middle,no
South Africa,ZAF,58.0,0.12867710882433947,0.09491274633667413,0.02483658511664788,middle,no
Sri Lanka,LKA,59.0,0.1612589340412851,0.09090643434958978,0.047658664008707774,middle,no
St. Kitts and Nevis,KNA,44.0,0.08732233131377654,0.030406715719690558,0.03563708161855583,high,no
St. Lucia,LCA,43.0,0.07666779734670404,0.02951909920552831,0.030775216270959138,middle,no
St. Vincent and the Grenadines,VCT,48.0,0.08131033310819258,0.04314988801722941,0.03428489542227142,middle,no
Sudan,SDN,61.0,0.3345170501013881,0.2737339979090694,0.027658756874998636,low,no
Suriname,SUR,56.0,0.2783615118070977,0.23004609844624113,0.015233927057556107,middle,no
Sweden,SWE,62.0,0.07987754326679064,0.04488448844558346,0.025270730417273457,high,yes
Switzerland,CHE,37.0,0.05531204332648576,0.01582234142198158,0.017624748910683552,high,yes
Syrian Arab Republic,SYR,52.0,0.16127274406519088,0.08763107656418856,0.0539806248843564,low,no
Tajikistan,TJK,25.0,0.2781959365215294,0.13317300472614257,0.07455844419547453,middle,no
Tanzania,TZA,33.0,0.199691876904188,0.13659428392836137,0.051411167096621746,middle,no
Thailand,THA,60.0,0.13230533891266738,0.03976984763461111,0.05868847500577168,middle,no
Timor-Leste,TLS,20.0,0.18612143306509465,0.05073588711108834,0.059746221547714695,middle,no
Togo,TGO,61.0,0.11559628083253859,0.042796180241165827,0.03789527754322086,low,no
Tonga,TON,33.0,0.0983741609769182,0.04798571833802212,0.01822354131309023,middle,no
Trinidad and Tobago,TTO,63.0,0.10915947645199964,0.0583583577646245,0.02958072072475204,high,no
Tunisia,TUN,58.0,0.1215777785454295,0.06025850324861137,0.04106823011920335,middle,no
Turkiye,TUR,63.0,0.3927562878429245,0.30193986860976985,0.047070100344603016,middle,yes
Uganda,UGA,41.0,0.33150631416919807,0.23202837181999292,0.05606506814849688,low,no
Ukraine,UKR,31.0,0.467405611005117,0.49964495554708055,-0.020226331196016023,middle,no
United Arab Emirates,ARE,48.0,0.11850022550130479,0.030697525465931408,0.04443846823663966,high,no
