country_code,country,gdp,labor,human_capital,physical_capital
MUS,Mauritius,30030.896484375,0.5828114748001099,2.6323022842407227,0.00047517477651126683
MYS,Malaysia,818144.5625,15.11832332611084,3.078611373901367,0.04035516828298569
NAM,Namibia,23621.189453125,0.7423070073127747,2.2514283657073975,0.0009227661066688597
NER,Niger,28234.169921875,8.86972713470459,1.2249869108200073,0.001473124953918159
NGA,Nigeria,995048.3125,73.02055358886719,1.9742451906204224,0.03193613886833191
NIC,Nicaragua,33074.5,2.66245698928833,2.286348819732666,0.0014900262467563152
NLD,Netherlands,950203.4375,9.456908226013184,3.396878480911255,0.05636506900191307
NOR,Norway,388492.46875,2.8536617755889893,3.6628432273864746,0.022307900711894035
NZL,New Zealand,199241.375,2.5060808658599854,3.407055139541626,0.008023981936275959
PAN,Panama,127016.1328125,1.9198999404907227,2.8882462978363037,0.0053010121919214725
PER,Peru,397799.15625,16.890403747558594,2.8385300636291504,0.017674805596470833
PHL,Philippines,913573.5625,42.424800872802734,2.7148802280426025,0.028131309896707535
POL,Poland,1214853.0,16.159107208251953,3.4577584266662598,0.03443673998117447
PRT,Portugal,327037.71875,4.961589336395264,2.5127508640289307,0.02523661218583584
PRY,Paraguay,86919.078125,3.3582797050476074,2.6566121578216553,0.0027802390977740288
QAT,Qatar,312499.09375,2.083951234817505,3.2594563961029053,0.02907160297036171
ROU,Romania,541634.25,8.680299758911133,3.273047924041748,0.019988393411040306
RUS,Russian Federation,4133948.5,71.67063903808594,3.434407949447632,0.24651479721069336
RWA,Rwanda,28869.240234375,5.274786949157715,1.9190202951431274,0.0006046429043635726
SAU,Saudi Arabia,1749947.625,13.74460506439209,2.713832378387451,0.12040973454713821
SDN,Sudan,181252.390625,10.32207202911377,1.6117841005325317,0.004892705008387566
SEN,Senegal,53146.421875,6.142953872680664,1.6175360679626465,0.0017443530960008502
SGP,Singapore,477183.59375,3.75960373878479,4.351568222045898,0.02550702542066574
SLE,Sierra Leone,14754.4794921875,2.535529613494873,1.6451164484024048,0.0002930225455202162
